Date,5CP.SI,BS6.SI,BSL.SI,C31.SI,C6L.SI,D05.SI,E5H.SI,F34.SI,H02.SI,M44U.SI,P40U.SI,S08.SI,S59.SI,S61.SI,S63.SI,T39.SI,U11.SI,U96.SI,V03.SI,Z74.SI
2009-12-28,0.167764,0.811753,0.3287,3.26832,11.482424,10.873909,0.430906,5.240119,4.046819,0.424128,0.293344,0.668944,2.229674,1.334212,2.421767,2.586069,13.988158,2.792396,5.099595,1.93547
2010-01-04,0.198014,0.838588,0.32417,3.299447,11.128883,10.859786,0.511173,5.623146,4.144331,0.429529,0.304519,0.675567,2.456647,1.334212,2.429218,2.54379,14.14437,2.792396,5.301273,1.898129
2010-01-11,0.189763,0.805044,0.31737,3.330573,11.052027,10.690326,0.481601,5.794283,4.095571,0.426828,0.318487,0.675567,2.376538,1.357084,2.39196,2.677674,13.789343,2.784849,5.358895,1.873236
2010-01-18,0.189763,0.764792,0.303768,3.167158,10.898314,10.464373,0.460478,5.427557,4.039855,0.432235,0.310106,0.695437,2.34316,1.326588,2.429218,2.649487,13.2923,2.679191,5.283987,1.873236
2010-01-25,0.184265,0.711122,0.312834,3.003742,10.621629,10.08308,0.439355,5.370512,3.928407,0.421427,0.298931,0.668944,2.229674,1.318964,2.302541,2.607209,12.894669,2.664096,4.880629,1.873236
2010-02-01,0.176014,0.684288,0.301497,2.832544,10.836827,9.913615,0.426682,4.979335,3.858752,0.421427,0.298931,0.682191,2.29643,1.318964,2.354703,2.607209,12.781057,2.603721,4.972825,1.804779
2010-02-08,0.181512,0.711122,0.31737,3.058214,11.021283,10.012469,0.456254,5.117877,4.039855,0.421427,0.304519,0.688814,2.309782,1.341836,2.421767,2.635395,13.079285,2.686738,5.128406,1.879459
2010-02-15,0.173262,0.690996,0.303768,3.034869,11.282598,9.955981,0.460478,5.207522,3.956271,0.424128,0.304519,0.697113,2.356512,1.341836,2.309993,2.628348,13.207092,2.671643,5.070783,1.873236
2010-02-22,0.181512,0.764792,0.308297,2.941488,11.436314,9.885369,0.447804,5.297166,4.130402,0.426828,0.301725,0.703816,2.336484,1.311339,2.332348,2.614255,13.235496,2.845225,4.86334,1.898129
2010-03-01,0.184937,0.758083,0.326435,3.034869,12.220254,9.927739,0.460478,5.403109,4.109508,0.426828,0.304519,0.710519,2.463322,1.303715,2.324896,2.677674,12.68165,2.867866,4.86334,1.910576
