Date,558.SI,BTJ.SI,C31.SI,C52.SI,CC3.SI,E28.SI,EB5.SI,EH5.SI,F34.SI,F99.SI,G13.SI,H17.SI,H30.SI,J69U.SI,O39.SI,S41.SI,S68.SI,U14.SI,U9E.SI,V01.SI
2009-12-28,0.034585,0.777014,3.26832,1.133162,1.163005,0.164736,0.789204,0.120999,5.240119,1.780911,1.108659,0.487873,0.471159,0.812477,6.094017,2.0356,5.648624,3.268151,0.474972,1.483035
2010-01-04,0.035602,0.956325,3.299447,1.126252,1.152186,0.17548,0.925559,0.130757,5.623146,1.869957,1.05749,0.504696,0.485127,0.829883,5.966781,1.977624,5.730487,3.268151,0.511513,1.653108
2010-01-11,0.037636,1.016095,3.330573,1.126252,1.168414,0.17548,0.99167,0.140515,5.794283,1.903879,1.066018,0.501331,0.523512,0.812477,5.893118,1.99695,5.689555,3.27618,0.840342,1.591882
2010-01-18,0.035602,0.956325,3.167158,1.133162,1.163005,0.161155,0.925559,0.136612,5.427557,1.814833,1.040434,0.484508,0.499086,0.829883,5.658732,1.971182,5.587223,3.171793,0.840342,1.557867
2010-01-25,0.034585,0.896555,3.003742,1.098614,1.173823,0.153993,0.892503,0.130757,5.370512,1.76395,0.903983,0.46432,0.453708,0.777653,5.484617,1.938974,5.450784,3.003165,0.803801,1.578276
2010-02-01,0.034585,0.896555,2.832544,1.057157,1.152186,0.150411,0.84292,0.140515,4.979335,1.624022,0.946624,0.471049,0.432774,0.748638,5.417652,1.88744,5.239302,2.971046,0.621126,1.659911
2010-02-08,0.034585,0.896555,3.058214,1.064067,1.135958,0.153993,0.859448,0.136612,5.117877,1.748725,0.903983,0.474414,0.446733,0.787264,5.692218,1.900323,5.311988,3.163762,0.694198,1.632699
2010-02-15,0.034585,0.896555,3.034869,1.070976,1.152186,0.153993,0.851184,0.136612,5.207522,1.735675,0.801645,0.474414,0.436257,0.781344,5.719003,1.88744,5.305132,3.131643,0.621126,1.666714
2010-02-22,0.035602,0.836784,2.941488,1.070976,1.157596,0.161155,0.851184,0.13466,5.297166,1.853127,0.763269,0.444133,0.443241,0.799098,5.685519,1.932532,5.284571,3.195882,0.621126,1.632699
2010-03-01,0.038654,0.777014,3.034869,1.064067,1.184642,0.153993,0.933823,0.136612,5.403109,1.931428,0.771797,0.427309,0.443241,0.810938,5.712309,1.964741,5.209176,3.139673,0.657657,1.653108
2010-03-08,0.038654,0.836784,3.058214,1.084795,1.190052,0.161155,0.975142,0.140515,5.509052,1.948828,0.793117,0.430674,0.460692,0.793178,5.946696,1.984066,5.401092,3.163762,0.657657,1.605488
2010-03-15,0.044757,0.836784,3.143813,1.084795,1.233326,0.164736,0.966879,0.136612,5.378659,1.935778,0.818702,0.427309,0.460692,0.810938,5.96009,1.977624,5.503905,3.179822,0.694198,1.619093
2010-03-22,0.048826,0.836784,3.136031,1.098614,1.238735,0.171899,0.942087,0.144418,5.378659,2.027129,0.784589,0.437403,0.453708,0.799098,5.832846,1.958299,5.38053,3.163762,0.657657,1.673517
2010-03-29,0.047808,0.896555,3.143813,1.077885,1.2766,0.186224,0.975142,0.14637,5.606845,2.166331,0.759005,0.434038,0.453708,0.793178,5.939996,1.984066,5.305132,3.163762,0.694198,1.700729
2010-04-05,0.047808,0.896555,3.167158,1.077885,1.271191,0.193386,0.999934,0.148321,5.614995,2.13153,0.767533,0.440768,0.467676,0.799098,5.980175,1.99695,5.407946,3.268151,0.76727,1.707531
2010-04-12,0.047808,0.896555,3.190503,1.098614,1.309056,0.186224,0.95035,0.150273,5.647593,2.12718,0.767533,0.457591,0.4572,0.810938,6.134203,2.042042,5.723238,3.28421,0.730729,1.734743
2010-04-19,0.047808,0.896555,3.065995,1.091704,1.28201,0.186224,0.933823,0.14637,5.655744,2.14893,0.729156,0.447497,0.443241,0.816858,5.899817,2.0356,5.723238,3.195882,0.694198,1.721137
2010-04-26,0.049843,0.896555,2.925925,1.084795,1.292486,0.193386,0.925559,0.148321,5.680191,2.14458,0.818702,0.454226,0.432774,0.799098,5.989875,2.009834,5.640988,3.091493,0.730729,1.816378
2010-05-03,0.044757,0.777014,2.864753,1.001881,1.209634,0.176837,0.851184,0.132708,5.378659,2.022779,0.80591,0.42058,0.404847,0.794934,5.819711,1.861673,5.209176,2.980772,0.621126,1.68032
2010-05-10,0.045774,0.836784,2.872645,1.04733,1.231728,0.195257,0.893655,0.136531,5.27044,2.044529,0.840022,0.37011,0.418815,0.806883,6.023909,1.963856,5.329417,3.071347,0.621126,1.788541
2010-05-17,0.044818,0.836784,2.77005,1.012185,1.187541,0.187889,0.810136,0.134523,4.548012,2.040179,0.793117,0.374787,0.376929,0.765046,5.683577,1.931017,5.164163,3.021943,0.584585,1.725907
2010-05-24,0.045911,0.836784,2.817401,1.019214,1.209004,0.180521,0.831015,0.130508,4.745037,2.12718,0.869871,0.388929,0.349011,0.753091,5.690379,1.878471,5.081538,3.186626,0.584585,1.732867
2010-05-31,0.050283,0.836784,2.841077,0.998127,1.2655,0.180521,0.876951,0.124484,4.761457,2.10978,0.878399,0.374787,0.383913,0.777001,5.819711,1.924449,5.129736,3.079582,0.584585,1.746785
