Date,3M Bill Rates,SGDAUD,S&PAUX200
25/12/2009,0.00542,1.239968,4790.85
1/01/2010,0.0055,1.262642,4870.64
8/01/2010,0.00571,1.283508,4912.13
15/01/2010,0.00529,1.285121,4899.59
22/01/2010,0.00491,1.269876,4750.61
29/01/2010,0.00449,1.247723,4569.62
5/02/2010,0.0043,1.229415,4514.06
12/02/2010,0.00378,1.247024,4562.09
19/02/2010,0.00379,1.263342,4635.06
26/02/2010,0.00391,1.258804,4637.72
5/03/2010,0.00402,1.270624,4767.24
12/03/2010,0.00382,1.277528,4818.12
19/03/2010,0.00369,1.280872,4872.23
26/03/2010,0.00349,1.269155,4896.89
2/04/2010,0.0034,1.286696,4907.74
9/04/2010,0.00349,1.294670,4948.09
16/04/2010,0.0034,1.273202,4984.66
23/04/2010,0.00341,1.263904,4881.52
30/04/2010,0.00329,1.275683,4807.37
7/05/2010,0.003,1.233893,4480.71
14/05/2010,0.00292,1.235080,4611.11
21/05/2010,0.00292,1.164349,4305.44
28/05/2010,0.00302,1.189408,4457.49
4/06/2010,0.003,1.171118,4449.36
11/06/2010,0.003,1.191273,4505.45
18/06/2010,0.00319,1.203386,4551.89
25/06/2010,0.00301,1.202942,4413
2/07/2010,0.00321,1.177635,4238.72
9/07/2010,0.00321,1.209087,4396.31
16/07/2010,0.003,1.200244,4422.74
23/07/2010,0.003,1.227173,4458.39
30/07/2010,0.0028,1.230733,4493.48
6/08/2010,0.0028,1.233572,4566.06
13/08/2010,0.0028,1.221976,4459.59
20/08/2010,0.0028,1.205943,4430.92
27/08/2010,0.0028,1.212587,4370.11
3/09/2010,0.0028,1.229551,4541.2
10/09/2010,0.00289,1.241742,4560.25
17/09/2010,0.003,1.252153,4638.89
24/09/2010,0.003,1.268230,4601.87
1/10/2010,0.003,1.272820,4579.24
8/10/2010,0.0028,1.283975,4681.41
15/10/2010,0.00292,1.282897,4688.95
22/10/2010,0.00292,1.273330,4648.23
29/10/2010,0.00292,1.268624,4661.6
5/11/2010,0.00292,1.304166,4800.64
12/11/2010,0.0029,1.280880,4692.73
19/11/2010,0.00292,1.277934,4629.2
26/11/2010,0.003,1.271909,4598.34
3/12/2010,0.00341,1.286883,4694.22
10/12/2010,0.00349,1.288889,4745.94
17/12/2010,0.00361,1.296770,4763.08
24/12/2010,0.00382,1.305126,4777.26
